date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:00	438/438	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Oct%202021%2021:34:33%20GMT	https://overwolf.xyz/robots.txt		(from )
14:35:01	12353/12353	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Oct%202021%2021:34:33%20GMT	https://overwolf.xyz/	C:/Users/Utente/Desktop/metaweb/metaweb/overwolf.xyz/index.html	(from )
14:35:01	5741/5741	---M-Z	200	added ('OK')	text/css	etag:W/%2260cd12ca-166d%22	https://rsms.me/inter/inter-ui.css	C:/Users/Utente/Desktop/metaweb/metaweb/rsms.me/inter/inter-ui.css	(from https://overwolf.xyz/)
14:35:02	21136/21136	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Sep%202021%2007:22:10%20GMT	https://cdn.discordapp.com/avatars/804447074702852107/c1433b98d0754edc19efa6c4dcbcfa2c.png	C:/Users/Utente/Desktop/metaweb/metaweb/cdn.discordapp.com/avatars/804447074702852107/c1433b98d0754edc19efa6c4dcbcfa2c.png	(from https://overwolf.xyz/)
14:35:03	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/Utente/Desktop/metaweb/metaweb/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://overwolf.xyz/)
14:35:03	1369/1369	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd5-559%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.css	C:/Users/Utente/Desktop/metaweb/metaweb/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.css	(from https://overwolf.xyz/)
14:35:03	2390/2390	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd5-956%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.min.css	C:/Users/Utente/Desktop/metaweb/metaweb/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.min.css	(from https://overwolf.xyz/)
14:35:04	157528/157528	---MCZ	200	added ('OK')	text/css	date:Fri,%2012%20Oct%202018%2008:17:04%20GMT	https://overwolf.xyz/css/default.css	C:/Users/Utente/Desktop/metaweb/metaweb/overwolf.xyz/css/default.css	(from https://overwolf.xyz/)
14:35:04	12352/12352	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Oct%202021%2021:34:36%20GMT	https://overwolf.xyz/index.php	C:/Users/Utente/Desktop/metaweb/metaweb/overwolf.xyz/index-2.html	(from https://overwolf.xyz/)
14:35:04	694/694	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Oct%202021%2021:34:37%20GMT	https://overwolf.xyz/Panel	C:/Users/Utente/Desktop/metaweb/metaweb/overwolf.xyz/Panel.7.delayed	(from https://overwolf.xyz/)
14:35:05	156300/156300	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Sep%202021%2000:57:54%20GMT	https://overwolf.xyz/img/Banner.png	C:/Users/Utente/Desktop/metaweb/metaweb/overwolf.xyz/img/Banner.png	(from https://overwolf.xyz/)
14:35:05	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:W/%2258d026fb-15283%22	https://code.jquery.com/jquery-3.2.1.min.js	C:/Users/Utente/Desktop/metaweb/metaweb/code.jquery.com/jquery-3.2.1.min.js	(from https://overwolf.xyz/)
14:35:05	3390/3390	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Oct%202021%2021:34:37%20GMT	https://overwolf.xyz/Panel/	C:/Users/Utente/Desktop/metaweb/metaweb/overwolf.xyz/Panel/index.html	(from https://overwolf.xyz/)
14:35:05	19188/19188	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-4af4%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	C:/Users/Utente/Desktop/metaweb/metaweb/cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	(from https://overwolf.xyz/)
14:35:06	48944/48944	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:04%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	C:/Users/Utente/Desktop/metaweb/metaweb/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	(from https://overwolf.xyz/)
14:35:06	64672/64672	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e59-fca0%22	https://cdnjs.cloudflare.com/ajax/libs/feather-icons/4.7.3/feather.min.js	C:/Users/Utente/Desktop/metaweb/metaweb/cdnjs.cloudflare.com/ajax/libs/feather-icons/4.7.3/feather.min.js	(from https://overwolf.xyz/)
14:35:06	42863/42863	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fd5-a76f%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.js	C:/Users/Utente/Desktop/metaweb/metaweb/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.js	(from https://overwolf.xyz/)
14:35:07	1208/1208	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20May%202019%2006:57:46%20GMT	https://overwolf.xyz/js/scripts.js	C:/Users/Utente/Desktop/metaweb/metaweb/overwolf.xyz/js/scripts.js	(from https://overwolf.xyz/)
14:35:07	99632/99632	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-18530%22	https://rsms.me/inter/font-files/Inter-Thin.woff2?v=3.19	C:/Users/Utente/Desktop/metaweb/metaweb/rsms.me/inter/font-files/Inter-Thin3535.woff2	(from https://rsms.me/inter/inter-ui.css)
14:35:07	135920/135920	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-212f0%22	https://rsms.me/inter/font-files/Inter-Thin.woff?v=3.19	C:/Users/Utente/Desktop/metaweb/metaweb/rsms.me/inter/font-files/Inter-Thin3535.woff	(from https://rsms.me/inter/inter-ui.css)
14:35:08	106496/106496	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-1a000%22	https://rsms.me/inter/font-files/Inter-ThinItalic.woff2?v=3.19	C:/Users/Utente/Desktop/metaweb/metaweb/rsms.me/inter/font-files/Inter-ThinItalic3535.woff2	(from https://rsms.me/inter/inter-ui.css)
14:35:08	145480/145480	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-23848%22	https://rsms.me/inter/font-files/Inter-ThinItalic.woff?v=3.19	C:/Users/Utente/Desktop/metaweb/metaweb/rsms.me/inter/font-files/Inter-ThinItalic3535.woff	(from https://rsms.me/inter/inter-ui.css)
14:35:08	104232/104232	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-19728%22	https://rsms.me/inter/font-files/Inter-ExtraLight.woff2?v=3.19	C:/Users/Utente/Desktop/metaweb/metaweb/rsms.me/inter/font-files/Inter-ExtraLight3535.woff2	(from https://rsms.me/inter/inter-ui.css)
14:35:08	140724/140724	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-225b4%22	https://rsms.me/inter/font-files/Inter-ExtraLight.woff?v=3.19	C:/Users/Utente/Desktop/metaweb/metaweb/rsms.me/inter/font-files/Inter-ExtraLight3535.woff	(from https://rsms.me/inter/inter-ui.css)
14:35:09	111392/111392	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-1b320%22	https://rsms.me/inter/font-files/Inter-ExtraLightItalic.woff2?v=3.19	C:/Users/Utente/Desktop/metaweb/metaweb/rsms.me/inter/font-files/Inter-ExtraLightItalic3535.woff2	(from https://rsms.me/inter/inter-ui.css)
